,method,seed,k,epoch,train_test,tp,tn,fp,fn
0,original and cof,4,10,1,train,3049,0,3049,0
1,original and cof,4,10,1,test,93,0,93,0
2,original and cof,4,10,2,train,3049,0,3049,0
3,original and cof,4,10,2,test,93,0,93,0
4,original and cof,4,10,3,train,3049,0,3049,0
5,original and cof,4,10,3,test,93,0,93,0
6,original and cof,4,10,4,train,3049,0,3049,0
7,original and cof,4,10,4,test,93,0,93,0
8,original and cof,4,10,5,train,3049,0,3049,0
9,original and cof,4,10,5,test,93,0,93,0
10,original and cof,4,10,6,train,3049,0,3049,0
11,original and cof,4,10,6,test,93,0,93,0
12,original and cof,4,10,7,train,3049,0,3049,0
13,original and cof,4,10,7,test,93,0,93,0
14,original and cof,4,10,8,train,3049,0,3049,0
15,original and cof,4,10,8,test,93,0,93,0
16,original and cof,4,10,9,train,3049,0,3049,0
17,original and cof,4,10,9,test,93,0,93,0
18,original and cof,4,10,10,train,3049,0,3049,0
19,original and cof,4,10,10,test,93,0,93,0
20,original and cof,4,10,11,train,3049,0,3049,0
21,original and cof,4,10,11,test,93,0,93,0
22,original and cof,4,10,12,train,3049,0,3049,0
23,original and cof,4,10,12,test,93,0,93,0
24,original and cof,4,10,13,train,3049,0,3049,0
25,original and cof,4,10,13,test,93,0,93,0
26,original and cof,4,10,14,train,3049,0,3049,0
27,original and cof,4,10,14,test,93,0,93,0
28,original and cof,4,10,15,train,3049,0,3049,0
29,original and cof,4,10,15,test,93,0,93,0
30,original and cof,4,10,16,train,3049,0,3049,0
31,original and cof,4,10,16,test,93,0,93,0
32,original and cof,4,10,17,train,3049,0,3049,0
33,original and cof,4,10,17,test,93,0,93,0
34,original and cof,4,10,18,train,3049,0,3049,0
35,original and cof,4,10,18,test,93,0,93,0
36,original and cof,4,10,19,train,3049,0,3049,0
37,original and cof,4,10,19,test,93,0,93,0
38,original and cof,4,10,20,train,3049,0,3049,0
39,original and cof,4,10,20,test,93,0,93,0
40,original and cof,4,10,21,train,3049,0,3049,0
41,original and cof,4,10,21,test,93,0,93,0
42,original and cof,4,10,22,train,3049,23,3026,0
43,original and cof,4,10,22,test,93,0,93,0
44,original and cof,4,10,23,train,3046,82,2967,3
45,original and cof,4,10,23,test,93,2,91,0
46,original and cof,4,10,24,train,3044,128,2921,5
47,original and cof,4,10,24,test,93,4,89,0
48,original and cof,4,10,25,train,3040,151,2898,9
49,original and cof,4,10,25,test,93,6,87,0
50,original and cof,4,10,26,train,3032,180,2869,17
51,original and cof,4,10,26,test,93,6,87,0
52,original and cof,4,10,27,train,3024,215,2834,25
53,original and cof,4,10,27,test,93,8,85,0
54,original and cof,4,10,28,train,2999,295,2754,50
55,original and cof,4,10,28,test,93,10,83,0
56,original and cof,4,10,29,train,2961,439,2610,88
57,original and cof,4,10,29,test,93,15,78,0
58,original and cof,4,10,30,train,2914,679,2370,135
59,original and cof,4,10,30,test,93,21,72,0
60,original and cof,4,10,31,train,2872,902,2147,177
61,original and cof,4,10,31,test,93,28,65,0
62,original and cof,4,10,32,train,2838,1129,1920,211
63,original and cof,4,10,32,test,93,33,60,0
64,original and cof,4,10,33,train,2791,1339,1710,258
65,original and cof,4,10,33,test,93,36,57,0
66,original and cof,4,10,34,train,2747,1546,1503,302
67,original and cof,4,10,34,test,93,47,46,0
68,original and cof,4,10,35,train,2710,1728,1321,339
69,original and cof,4,10,35,test,93,52,41,0
70,original and cof,4,10,36,train,2672,1873,1176,377
71,original and cof,4,10,36,test,93,53,40,0
72,original and cof,4,10,37,train,2647,1988,1061,402
73,original and cof,4,10,37,test,93,57,36,0
74,original and cof,4,10,38,train,2629,2082,967,420
75,original and cof,4,10,38,test,92,59,34,1
76,original and cof,4,10,39,train,2605,2168,881,444
77,original and cof,4,10,39,test,92,62,31,1
78,original and cof,4,10,40,train,2575,2230,819,474
79,original and cof,4,10,40,test,92,63,30,1
80,original and cof,4,10,41,train,2550,2299,750,499
81,original and cof,4,10,41,test,92,65,28,1
82,original and cof,4,10,42,train,2517,2357,692,532
83,original and cof,4,10,42,test,92,69,24,1
84,original and cof,4,10,43,train,2486,2402,647,563
85,original and cof,4,10,43,test,92,70,23,1
86,original and cof,4,10,44,train,2455,2450,599,594
87,original and cof,4,10,44,test,92,72,21,1
88,original and cof,4,10,45,train,2434,2496,553,615
89,original and cof,4,10,45,test,92,72,21,1
90,original and cof,4,10,46,train,2413,2527,522,636
91,original and cof,4,10,46,test,92,73,20,1
92,original and cof,4,10,47,train,2371,2561,488,678
93,original and cof,4,10,47,test,92,74,19,1
94,original and cof,4,10,48,train,2342,2583,466,707
95,original and cof,4,10,48,test,91,77,16,2
96,original and cof,4,10,49,train,2319,2610,439,730
97,original and cof,4,10,49,test,91,79,14,2
98,original and cof,4,10,50,train,2298,2628,421,751
