,method,seed,k,epoch,train_test,tp,tn,fp,fn
0,original and cof,0,1,1,train,0,286,0,286
1,original and cof,0,1,1,test,0,21,0,21
2,original and cof,0,1,2,train,0,286,0,286
3,original and cof,0,1,2,test,0,21,0,21
4,original and cof,0,1,3,train,0,286,0,286
5,original and cof,0,1,3,test,0,21,0,21
6,original and cof,0,1,4,train,0,286,0,286
7,original and cof,0,1,4,test,0,21,0,21
8,original and cof,0,1,5,train,134,278,8,152
9,original and cof,0,1,5,test,14,21,0,7
10,original and cof,0,1,6,train,134,253,33,152
11,original and cof,0,1,6,test,17,20,1,4
12,original and cof,0,1,7,train,135,214,72,151
13,original and cof,0,1,7,test,20,18,3,1
14,original and cof,0,1,8,train,138,192,94,148
15,original and cof,0,1,8,test,20,16,5,1
16,original and cof,0,1,9,train,141,166,120,145
17,original and cof,0,1,9,test,21,14,7,0
18,original and cof,0,1,10,train,143,164,122,143
19,original and cof,0,1,10,test,21,14,7,0
20,original and cof,0,1,11,train,143,166,120,143
21,original and cof,0,1,11,test,21,14,7,0
22,original and cof,0,1,12,train,139,172,114,147
23,original and cof,0,1,12,test,21,15,6,0
24,original and cof,0,1,13,train,139,177,109,147
25,original and cof,0,1,13,test,21,16,5,0
26,original and cof,0,1,14,train,138,189,97,148
27,original and cof,0,1,14,test,20,16,5,1
28,original and cof,0,1,15,train,138,196,90,148
29,original and cof,0,1,15,test,20,16,5,1
30,original and cof,0,1,16,train,138,199,87,148
31,original and cof,0,1,16,test,20,16,5,1
32,original and cof,0,1,17,train,136,201,85,150
33,original and cof,0,1,17,test,20,18,3,1
34,original and cof,0,1,18,train,136,206,80,150
35,original and cof,0,1,18,test,20,18,3,1
36,original and cof,0,1,19,train,136,209,77,150
37,original and cof,0,1,19,test,20,18,3,1
38,original and cof,0,1,20,train,136,213,73,150
39,original and cof,0,1,20,test,20,18,3,1
40,original and cof,0,1,21,train,136,214,72,150
41,original and cof,0,1,21,test,20,18,3,1
42,original and cof,0,1,22,train,134,214,72,152
43,original and cof,0,1,22,test,20,18,3,1
44,original and cof,0,1,23,train,134,220,66,152
45,original and cof,0,1,23,test,18,18,3,3
46,original and cof,0,1,24,train,134,220,66,152
47,original and cof,0,1,24,test,18,18,3,3
48,original and cof,0,1,25,train,134,222,64,152
49,original and cof,0,1,25,test,18,18,3,3
50,original and cof,0,1,26,train,134,224,62,152
51,original and cof,0,1,26,test,18,18,3,3
52,original and cof,0,1,27,train,134,226,60,152
53,original and cof,0,1,27,test,18,18,3,3
54,original and cof,0,1,28,train,134,229,57,152
55,original and cof,0,1,28,test,18,18,3,3
56,original and cof,0,1,29,train,134,229,57,152
57,original and cof,0,1,29,test,18,18,3,3
58,original and cof,0,1,30,train,134,229,57,152
59,original and cof,0,1,30,test,18,18,3,3
60,original and cof,0,1,31,train,134,231,55,152
61,original and cof,0,1,31,test,18,18,3,3
62,original and cof,0,1,32,train,134,231,55,152
63,original and cof,0,1,32,test,18,18,3,3
64,original and cof,0,1,33,train,134,231,55,152
65,original and cof,0,1,33,test,18,18,3,3
66,original and cof,0,1,34,train,134,234,52,152
67,original and cof,0,1,34,test,18,18,3,3
68,original and cof,0,1,35,train,134,234,52,152
69,original and cof,0,1,35,test,18,18,3,3
70,original and cof,0,1,36,train,134,235,51,152
71,original and cof,0,1,36,test,18,18,3,3
72,original and cof,0,1,37,train,134,236,50,152
73,original and cof,0,1,37,test,18,18,3,3
74,original and cof,0,1,38,train,134,238,48,152
75,original and cof,0,1,38,test,18,18,3,3
76,original and cof,0,1,39,train,134,238,48,152
77,original and cof,0,1,39,test,18,18,3,3
78,original and cof,0,1,40,train,134,240,46,152
79,original and cof,0,1,40,test,18,18,3,3
80,original and cof,0,1,41,train,134,240,46,152
81,original and cof,0,1,41,test,18,18,3,3
82,original and cof,0,1,42,train,134,240,46,152
83,original and cof,0,1,42,test,18,18,3,3
84,original and cof,0,1,43,train,134,240,46,152
85,original and cof,0,1,43,test,18,18,3,3
86,original and cof,0,1,44,train,134,240,46,152
87,original and cof,0,1,44,test,18,18,3,3
